slug,name_en,name_ja,family,family_ja,frequency,alias_count,needs_review
ambrettolide,ambrettolide,,musk,ムスク,23,0,false
blackcurrant-liqueur,blackcurrant liqueur,,boozy,アルコーリック,23,0,false
celery,celery,セロリ,herbal,ハーバル,22,0,false
pink-lotus,pink lotus,,other,その他,22,1,false
white-gingerlily,white gingerlily,,white_floral,ホワイトフローラル,22,0,false
apricot-nectar,apricot nectar,,fruity,フルーティ,22,0,false
salicylate,salicylate,,synthetic,合成香料,22,0,false
liatris-spicata,liatris spicata,,other,その他,22,1,false
williams-pear,williams pear,,fruity,フルーティ,22,0,false
kahili-ginger,kahili ginger,,white_floral,ホワイトフローラル,22,0,false
fig-milk,fig milk,,fruity,フルーティ,22,0,false
minneola-tangelo,minneola tangelo,,fruity,フルーティ,22,0,false
shiso-leaf,shiso leaf,紫蘇の葉,green,グリーン,22,0,false
saffron-blossom,saffron blossom,,floral,フローラル,22,0,false
grapefruit-zest,grapefruit zest,グレープフルーツの皮,citrus,シトラス,22,0,false
stephanotis,stephanotis,ステファノティス,white_floral,ホワイトフローラル,22,0,false
blue-iris,blue iris,,floral,フローラル,22,0,false
green-almond,green almond,,gourmand,グルマン,22,0,false
dragee,dragée,,gourmand,グルマン,22,0,false
earl-grey-tea,earl grey tea,,tea,ティー,22,0,false
fig-wood,fig wood,,woody,ウッディ,21,0,false
orange-leaf,orange leaf,オレンジリーフ,citrus,シトラス,21,0,false
rice-powder,rice powder,米粉,powdery,パウダリー,21,0,false
dulce-de-leche,dulce de leche,ドゥルセ・デ・レチェ,gourmand,グルマン,21,0,false
mate-tea,maté tea,,tea,ティー,21,0,false
lichen,lichen,地衣類,earthy,アーシー,21,0,false
bitter-orange-leaf,bitter orange leaf,,citrus,シトラス,21,0,false
jonquil,jonquil,,other,その他,21,1,false
bay-rum,bay rum,,boozy,アルコーリック,21,0,false
rose-hip,rose hip,ローズヒップ,floral,フローラル,21,0,false
rhubarb-leaf,rhubarb leaf,,green,グリーン,21,0,false
hemp,hemp,,other,その他,20,2,false
sequoia,sequoia,セコイア,woody,ウッディ,20,0,false
hyssop,hyssop,ヒソップ,herbal,ハーバル,20,0,false
black-cardamom,black cardamom,,spicy,スパイシー,20,0,false
dark-woods,dark woods,ダークウッド,woody,ウッディ,20,0,false
nuts,nuts,ナッツ,gourmand,グルマン,20,0,false
currant-leaf,currant leaf,,green,グリーン,20,0,false
acai,açaí,,fruity,フルーティ,20,0,false
matcha,matcha,抹茶,tea,ティー,20,0,false
fir-needle,fir needle,,other,その他,20,1,false
mineral-amber,mineral amber,,balsamic,バルサミック,20,0,false
cabreuva,cabreuva,,other,その他,20,1,false
muscenone,muscenone,,musk,ムスク,20,0,false
cade-juniper,cade juniper,,woody,ウッディ,20,0,false
basmati-rice,basmati rice,,gourmand,グルマン,20,0,false
camphor,camphor,カンファー,herbal,ハーバル,20,0,false
georgywood,georgywood,,woody,ウッディ,20,0,false
casablanca-lily,casablanca lily,,white_floral,ホワイトフローラル,20,0,false
black-violet,black violet,,floral,フローラル,20,0,false
